序號,課程代碼,開課班別(代表),課程名稱,教學大綱Syllabus,課程性質,課程性質2,全英語授課,學分,教師姓名,上課大樓,上課節次+地點,上限人數,登記人數,選上人數,可跨班,備註,英文課程名稱,教學大綱狀態,教學大綱連結,教師個人頁
11,800E4,日外校大學,基礎捷克文一,,自由選修,,否,2.5,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學,Basic Czech 1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
12,800E3,日外校大學,與身心障礙人士的溝通技巧,,自由選修,,否,1.5,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學,Communication with People with Disabilit,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
13,800E2,日外校大學,數位攝影,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學,Photography - Digital Advanced,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
14,800E1,日外校大學,學術英文與讀書技巧,,自由選修,,否,2.5,校際教師,,,1,0,1,限本班,捷克-西波希米亞大學,Academic English and Study Skills,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
15,800D9,日外校大學,韓語的發音與應用,,自由選修,,否,3,校際教師,,,1,0,1,限本班,University of Seoul,Pronunciation of Korean and its Application,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
16,800D8,日外校大學,當今德國—德國生活與文化,,自由選修,,否,1.5,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,Germany Today - German Life and Culture,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
17,800D7,日外校大學,初級德文,,自由選修,,否,1.5,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,German Language Course (Advanced Beginners),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
18,800D6,日外校大學,初級德文密集課,,自由選修,,否,4.5,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,German Intensive Language Course for Beginners,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
19,800D5,日外校大學,日常用品的文化,,自由選修,,否,1.5,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,The Culture of Daily Objects,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
20,800D4,日外校大學,中級韓文,,自由選修,,否,3,校際教師,,,50,0,1,限本班,,Intermediate Korean Language 2,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
21,800D3,日外校大學,實用韓文,,自由選修,,否,3,校際教師,,,50,0,2,限本班,University of Seoul,Practical Korean Language 3,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
22,800D2,日外校大學,韓國歷史,,自由選修,,否,3,校際教師,,,50,0,1,限本班,University of Seoul,Korean History,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
23,800D1,日外校大學,商務溝通要點,,自由選修,,否,1,校際教師,,,50,0,1,限本班,Reutlingen University,Business Communication Essentials,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
24,800C9,日外校大學,國際商務與產業案例研究,,自由選修,,否,2,校際教師,,,50,0,1,限本班,Reutlingen University,International Business with Case Studies in Industry,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
25,800C8,日外校大學,國際談判,,自由選修,,否,1,校際教師,,,50,0,1,限本班,Reutlingen University,International Negotiations,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
26,800C7,日外校大學,"學期前密集課程""德語與文化""",,自由選修,,否,2,校際教師,,,50,0,1,限本班,Reutlingen University,"Pre-semester intensive course ""German language and culture""(18.-29.09.2023)",無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
27,800C6,日外校大學,歡迎登陸新生入學前培訓,,自由選修,,否,0.5,校際教師,,,50,0,1,限本班,Reutlingen University,Welcome on Board! Pre-arrival Training for Incoming Students,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
28,800C5,日外校大學,德文課(進階初學者),,自由選修,,否,1,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,German Language Course (Advanced Beginners),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
29,800C4,日外校大學,德文密集課程(初學者),,自由選修,,否,4,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,German Intensive Language Course for Beginners,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
30,800C3,日外校大學,今日德國－德國生活與文化,,自由選修,,否,1,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,Germany Today - German Life and Culture,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
31,800C2,日外校大學,日常物品之文化,,自由選修,,否,1,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,The Culture of Daily Objects,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
32,800C1,日外校大學,女性主義寫作,,自由選修,,否,1,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,Feminist Writing,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
33,800B9,日外校大學,中級韓文2,,自由選修,,否,3,校際教師,,,50,0,2,限本班,University of Seoul,Intermediate Korean Language 2,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
34,800B8,日外校大學,英文口說與討論,,自由選修,,否,3,校際教師,,,50,0,1,限本班,University of Seoul,English Speaking and Discussion,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
35,800B7,日外校大學,實用韓文3,,自由選修,,否,3,校際教師,,,50,0,1,限本班,University of Seoul,Practical Korean Language 3,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
36,800B6,日外校大學,韓國大眾媒體和流行文化,,自由選修,,否,3,校際教師,,,50,0,3,限本班,University of Seoul,Mass Media and Popular Culture in Korea,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
37,800B5,日外校大學,國際行銷,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,,International Marketing,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
38,800B4,日外校大學,德語 A1.2,,自由選修,,否,2,校際教師,,,50,0,1,限本班,,"Deutsch, Niveau A1.2",無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
39,800B3,日外校大學,專案管理,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,,Project Management,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
40,800B2,日外校大學,商務模擬,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,,Business Simulation,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
41,800B1,日外校大學,創新管理,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,,Innovation Management,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
42,800A9,日外校大學,日本語2(聽力．口說),,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese 2(Listening & Speaking),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
43,800A8,日外校大學,日本語2(聽力),,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese 2(Listening),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
44,800A7,日外校大學,日本語2(對話),,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese 2(Conversation),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
45,800A6,日外校大學,日本語2(閱讀．寫作),,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese 2(Reading & Writing),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
46,800A5,日外校大學,初級德文,,自由選修,,否,2,校際教師,,,50,0,1,限本班,,Deutsch als Fremdsprache I (Niveau A1),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
47,800A4,日外校大學,系統程式,,自由選修,,否,3,校際教師,,,50,0,1,限本班,,Software Service Engineering,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
48,800A3,日外校大學,分散式系統,,自由選修,,否,3,校際教師,,,50,0,1,限本班,,Design of Distributed System,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
49,800A2,日外校碩士班,語音B1/B2,,自由選修,,否,2.3,校際教師,,,1,0,1,限本班,法國-國立東方語言文化學院,Phonetics B1/B2,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
50,800A1,日外校碩士班,語法B1,,自由選修,,否,2.3,校際教師,,,1,0,1,限本班,法國-國立東方語言文化學院,Grammar B1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
51,80099,日外校碩士班,法文口語B1(理解與表達),,自由選修,,否,4.5,校際教師,,,1,0,1,限本班,法國-國立東方語言文化學院,Oral French B1(Comprehension and Production),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
52,80098,日外校碩士班,法文書面B1(理解與表達),,自由選修,,否,4.5,校際教師,,,4,0,1,限本班,法國-國立東方語言文化學院,Written French B1 (Comprehension and Production),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
53,80097,日外校大學,國際論壇,,自由選修,,否,4,校際教師,,,50,0,1,限本班,,Global Forum,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
54,80096,日外校大學,國際經濟,,自由選修,,否,4,校際教師,,,50,0,1,限本班,,Global Economy,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
55,80095,日外校大學,管理會計,,自由選修,,否,4.5,校際教師,,,50,0,1,限本班,,Accounting in Business,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
56,80094,日外校大學,聽覺障礙生活指導法Ⅰ,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Methods and Strategies for Teaching Students with Hearing Impairment,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
57,80093,日外校大學,日本語2(聽、說),,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese Language 2 (Listening & Conversation),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
58,80092,日外校大學,日本語2(學生的聽解),,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese Language 2(Listening),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
59,80091,日外校大學,日本語(綜合)B,,自由選修,,否,1,校際教師,,,1,0,2,限本班,日本-福岡教育大學,Japanese Language(Comprehensive) B,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
60,80090,日外校大學,多文化間心理學,,自由選修,,否,2,校際教師,,,1,0,2,限本班,日本-福岡教育大學,Multi-Cultural Psychology,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
61,80089,日外校大學,英語教育實習,,自由選修,,否,3,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,ISP an der Hans-Thoma-GMS Malsch,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
62,80088,日外校大學,德國時事,,自由選修,,否,3,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,Germany Today-German Life and Culture,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
63,80087,日外校大學,初級進階德文,,自由選修,,否,3,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,German Language Course (Advanced Beginners),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
64,80086,日外校大學,初級德文密集課,,自由選修,,否,9,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,German Intensive Language Course for Beginners,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
65,80085,日外校大學,TEFL師培認證介紹—中等教育,,自由選修,,否,3,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,Introduction to TEFL Secondary,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
66,80084,日外校大學,差異化翻轉教育,,自由選修,,否,4,校際教師,,,1,0,1,限本班,德國-卡爾斯魯厄教育大學,Differentiated Flipped Learning,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
67,80083,日外校大學,聽講練習L6,,自由選修,,否,5,校際教師,,,1,0,1,限本班,美國-加州大學爾灣分校,Speaking/Listening Level 6,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
68,80082,日外校大學,國際經濟,,自由選修,,否,2,校際教師,,,1,0,1,限本班,美國-加州大學爾灣分校,International Economics,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
69,80081,日外校大學,國際論壇,,自由選修,,否,2,校際教師,,,1,0,1,限本班,美國-加州大學爾灣分校,GLOBAL & INTL FORUM,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
70,80080,日外校大學,異文化理解,,自由選修,,否,2,校際教師,,,50,0,1,限本班,日本-愛知教育大學,Cross-Cultural Awareness,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
71,80079,日外校大學,進階英文,,自由選修,,否,2,校際教師,,,50,0,1,限本班,日本-愛知教育大學,Advanced English,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
72,80078,日外校大學,軟體服務工程,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,,Software Service Engineering,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
73,80077,日外校大學,德文A2,,自由選修,,否,2.5,校際教師,,,50,0,1,限本班,,Kurs 2 (A2),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
74,80076,日外校大學,德文A2,,自由選修,,否,2,校際教師,,,50,0,0,限本班,,Kurs 2 (A2),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
75,80075,日外校大學,哲學入門,,自由選修,,否,2,校際教師,,,50,0,1,限本班,,Introduction to Philosophy,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
76,80074,日外校大學,管理思想史,,自由選修,,否,2,校際教師,,,50,0,1,限本班,,History of Management Thought,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
77,80073,日外校大學,毛澤東思想和中國特色社會主義理論體系概論,,自由選修,,否,3,校際教師,,,50,0,1,限本班,,Mao Zedong Thoughts and Theoretical System of Socialism with Chinese Characteristics,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
78,80072,日外校大學,乒乓球,,自由選修,,否,1,校際教師,,,50,0,1,限本班,,Table Tennis,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
79,80071,日外校大學,日本的教育制度B,,自由選修,,否,2,校際教師,,,1,0,3,限本班,日本-福岡教育大學,Education System in Japan B,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
80,80070,日外校大學,日本語2(聽力、會話),,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese Language 2 (Listening & Conversation),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
81,80069,日外校大學,日本語2(大學生的聽解),,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese Language 2(Listening),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
82,80068,日外校大學,比較教育文化論B,,自由選修,,否,2,校際教師,,,1,0,3,限本班,日本-福岡教育大學,Comparative Studies about Education Cultures B,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
83,80067,日外校大學,日本事情B,,自由選修,,否,2,校際教師,,,1,0,3,限本班,日本-福岡教育大學,Japanese Culture and Society B,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
84,80066,日外校大學,多文化心理學,,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Multi-Cultural Psychology,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
85,80065,日外校大學,日本語2(溝通),,自由選修,,否,2,校際教師,,,1,0,2,限本班,日本-福岡教育大學,Japanese Language 2 (Communication),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
86,80064,日外校大學,日本語2(閱讀、書寫),,自由選修,,否,2,校際教師,,,1,0,1,限本班,日本-福岡教育大學,Japanese Language 2 (Reading & Writing),無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
87,80063,日外校碩士班,德文 1,,自由選修,,否,2.5,校際教師,,,20,0,1,限本班,,German Communication Skills 1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
88,80062,日外校碩士班,商業研討1,,自由選修,,否,2.5,校際教師,,,20,0,1,限本班,,English Business Communication 1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
89,80061,日外校大學,電腦安全概論,,自由選修,,否,3,校際教師,,,50,0,1,限本班,,Intro to Computer Security,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
90,80060,日外校大學,遊戲編程I,,自由選修,,否,3,校際教師,,,50,0,1,限本班,,Programing For Game I,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
91,80059,日外校大學,小學教學實習,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學,Practice in Primary School,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
92,80058,日外校大學,蕾絲製作(一),,自由選修,,否,1,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學,Bobbin Lace Production 1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
93,80057,日外校大學,儀式人類學,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學,Anthropology of Ritual,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
94,80056,日外校大學,文化理論：定居系統人類學,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學,Theory of Culture: Anthropology of Settlement Systems,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
95,80055,日外校大學,通史,,自由選修,,否,1,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學,General History,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
96,80054,日外校大學,初級捷克語,,自由選修,,否,2,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學,Basic Czech 1,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
97,80053,日外校大學,英文寫作技巧,,自由選修,,否,1,校際教師,,,1,0,1,限本班,捷克-赫拉德茨克拉洛韋大學,Writing Skills in English,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
98,80052,日外校大學,社會心理學,,自由選修,,否,3,校際教師,,,1,0,1,限本班,北京師範大學,Social Psychology,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
99,80051,日外校大學,旅遊地理學,,自由選修,,否,2,校際教師,,,1,0,1,限本班,北京師範大學,Tourism Geography,無,,https://webapss.ncue.edu.tw/Teacher/Reports/OB020.aspx?yms_year=112&yms_sms=1&emp_id=P000011
